                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56698,                0.87104,                0.87252,                 0.9988,                      1,                  0.995,                 0.8767,                0.54449,                0.40524,                0.82423,             0.00065918,             0.00065918,             0.00065918
                      2,                0.55605,                0.40303,                 0.8611,                0.99944,                      1,                  0.995,                0.89259,                0.49467,                0.29426,                0.81895,              0.0012733,              0.0012733,              0.0012733
                      3,                0.55881,                0.39898,                0.86869,                0.99265,                      1,                  0.995,                 0.8721,                0.55684,                0.42373,                0.82918,              0.0018347,              0.0018347,              0.0018347
                      4,                0.55092,                0.38005,                0.86283,                0.99927,                      1,                  0.995,                0.89309,                0.51786,                0.33524,                0.82442,              0.0017624,              0.0017624,              0.0017624
                      5,                0.52199,                0.35144,                0.85391,                0.99961,                      1,                  0.995,                0.91582,                0.46593,                0.27893,                 0.8059,              0.0016832,              0.0016832,              0.0016832
                      6,                0.50171,                0.33026,                0.85795,                0.99945,                      1,                  0.995,                0.90195,                0.47605,                0.25315,                0.81323,               0.001604,               0.001604,               0.001604
                      7,                0.50812,                0.32625,                0.84959,                0.99956,                      1,                  0.995,                0.90351,                0.43246,                0.28402,                 0.7995,              0.0015248,              0.0015248,              0.0015248
                      8,                0.48779,                 0.3062,                0.84857,                0.99501,                      1,                  0.995,                0.90629,                0.44005,                0.23895,                0.79984,              0.0014456,              0.0014456,              0.0014456
                      9,                0.46851,                0.29698,                0.84554,                0.99962,                      1,                  0.995,                0.91736,                 0.4317,                 0.2306,                0.80308,              0.0013664,              0.0013664,              0.0013664
                     10,                0.47209,                 0.3005,                 0.8472,                0.99939,                      1,                  0.995,                0.90766,                0.42968,                0.24668,                0.80231,              0.0012872,              0.0012872,              0.0012872
                     11,                 0.4625,                0.29562,                0.84448,                 0.9996,                      1,                  0.995,                0.91506,                0.43371,                0.23135,                0.80146,               0.001208,               0.001208,               0.001208
